sample,True R,True G,True B,Observed R,Observed G,Observed B,Red R,Red G,Red B,Green R,Green G,Green B,Blue R,Blue G,Blue B,camera
8007-11E-1,233,216,197,178,175,166,122,34,39,31,74,47,29,41,93,1
8007-11E-2,233,216,197,173,173,165,120,34,57,30,73,47,29,41,93,1
8007-11E-3,233,216,197,186,181,169,136,34,35,31,80,43,29,43,103,1
8007-11E-4,233,216,197,184,178,164,123,31,33,34,77,44,37,47,97,1
8007-11E-5,233,216,197,187,183,171,141,38,39,31,78,41,31,43,103,1
7002-13-1,234,223,204,188,182,168,122,32,34,30,70,39,33,42,89,1
7002-13-2,234,223,204,186,183,174,123,33,38,30,73,45,31,43,93,1
7002-13-3,234,223,204,185,185,177,124,33,39,31,74,48,32,44,46,1
7002-13-4,234,223,204,182,179,170,119,33,38,33,72,45,36,47,95,1
7002-13-5,234,223,204,186,184,172,127,36,39,33,76,47,33,45,96,1
7006-6-1,241,232,212,185,181,169,122,33,36,33,72,41,36,43,89,1
7006-6-2,241,232,212,186,186,178,119,35,41,35,76,45,39,50,96,1
7006-6-3,241,232,212,190,190,182,123,38,45,37,78,49,41,52,100,1
7006-6-4,241,232,212,188,189,183,120,36,43,37,78,50,71,79,135,1
7006-6-5,241,232,212,184,185,177,120,34,41,34,75,45,35,45,94,1
8007-3G-1,221,237,238,179,181,178,121,32,34,35,73,36,41,46,85,1
8007-3G-2,221,237,238,186,188,185,124,33,35,39,77,40,40,47,86,1
8007-3G-3,221,237,238,186,191,189,123,32,35,39,77,42,41,48,89,1
8007-3G-4,221,237,238,185,190,188,125,35,37,39,78,43,41,48,91,1
8007-3G-5,221,237,238,183,185,181,121,30,32,35,73,36,39,45,85,1
8007-6E-1,243,242,237,190,191,185,118,37,39,40,77,44,40,48,87,1
8007-6E-2,243,242,237,197,198,192,122,38,40,44,83,49,42,51,93,1
8007-6E-3,243,242,237,198,198,192,123,38,40,44,81,48,42,51,92,1
8007-6E-4,243,242,237,196,197,191,122,37,39,43,81,47,44,52,93,1
8007-6E-5,243,242,237,185,186,180,118,36,38,39,76,43,36,44,84,1
7007-1-1,238,231,217,182,182,174,118,28,34,33,73,41,36,47,93,1
7007-1-2,238,231,217,186,187,181,114,24,31,36,79,47,33,45,95,1
7007-1-3,238,231,217,187,188,183,118,29,35,36,79,48,33,45,95,1
7007-1-4,238,231,217,185,187,182,120,30,37,36,79,49,34,47,97,1
7007-1-5,238,231,217,183,183,175,121,33,38,33,73,40,35,45,91,1
7004-21-1,209,211,209,171,173,167,126,37,38,37,77,41,41,49,91,1
7004-21-2,209,211,209,170,171,165,126,35,36,39,78,41,42,50,92,1
7004-21-3,209,211,209,177,177,169,129,38,39,44,83,46,44,52,94,1
7004-21-4,209,211,209,176,176,168,130,39,40,43,82,45,44,52,93,1
7004-21-5,209,211,209,175,175,167,129,37,38,43,82,44,48,55,97,1
2002-5C-1,195,116,102,160,99,80,146,47,46,54,94,51,50,58,99,1
2002-5C-2,195,116,102,160,99,78,149,51,49,59,98,55,59,66,107,1
2002-5C-3,195,116,102,164,102,82,155,55,55,62,104,63,58,67,112,1
2002-5C-4,195,116,102,166,104,85,155,56,56,64,105,64,57,68,113,1
2002-5C-5,195,116,102,164,101,80,154,54,53,61,101,58,57,65,106,1
2003-5C-1,207,134,111,168,114,88,149,65,61,64,99,61,58,65,101,1
2003-5C-2,207,134,111,173,118,90,150,65,61,66,102,63,58,66,102,1
2003-5C-3,207,134,111,179,124,98,155,71,68,64,101,66,65,74,113,1
2003-5C-4,207,134,111,177,123,97,155,71,70,63,100,66,66,75,115,1
2003-5C-5,207,134,111,177,122,96,155,71,68,65,102,65,63,72,110,1
8002-12D-1,210,129,101,170,108,77,139,44,42,55,93,51,48,55,95,1
8002-12D-2,210,129,101,177,116,85,145,51,50,59,99,60,51,60,105,1
8002-12D-3,210,129,101,177,116,86,145,50,50,60,100,63,55,63,108,1
8002-12D-4,210,129,101,175,114,85,146,51,51,60,100,63,54,64,100,1
8002-12D-5,210,129,101,171,109,78,140,44,43,57,96,54,52,60,101,1
8007-11E-1,233,216,197,178,175,166,122,34,39,31,74,47,29,41,93,2
